Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
pmp prep,390,HIGH,72,337.29,1793.02,No,
project coordinator certification,390,HIGH,81,304.81,1165.47,No,
pmp certification near me,390,HIGH,88,380.75,1694.41,No,
construction project scheduling software,390,MEDIUM,45,1740.13,6118.70,No,
agile pm,390,MEDIUM,42,224.13,1075.81,No,
jira kanban,390,LOW,31,370.24,1448.76,No,
program management training,390,HIGH,72,326.33,1173.53,No,
best pmp prep courses,390,HIGH,84,331.71,1411.11,No,
trello calendar,390,MEDIUM,35,324.29,3888.49,No,
office 365 project management,390,MEDIUM,36,394.47,4062.99,No,
jira capacity planning,390,MEDIUM,41,338.54,896.51,No,
learn project management,390,HIGH,71,390.88,1094.58,No,
